Sentence,Organizations
NDB,evolved into,a fully-fledged commercial bank
 NDB,crowned as,Sri Lanka
 NDB,crowned as,Sri Lanka
 NDB,crowned as,Sri Lanka
 NDB,crowned as,Sri Lanka
 NDB,crowned as,Sri Lanka
NDB Group,positioned towards,assisting
CBSL,lighting during,the event
CBSL,lighting during,the event
CBSL,lighting during,the event
CBSL,lighting during,the event
CBSL,lighting during,the event
CBSL,lighting during,the event
CBSL,lighting during,the event
LOLC Finance,carried For,the first time
LOLC Finance,carried For,the first time
iPay,is With, 
iPay,is With,an architecture
LOLC Finance,operating as,its merchant acquiring partner
iPay,acclaimed With, 
iPay,acclaimed With,operating
iPay,acclaimed as,a mobile app
LOLC Finance,operating as,its merchant acquiring partner
iPay,acclaimed With, 
iPay,acclaimed With,operating
iPay,acclaimed as,a mobile app
 First Capital,acted as,the structuring and placement agent
 First Capital,acted as,the structuring and placement agent
 First Capital,acted as,the structuring and placement agent
a Specialised Leasing Company,42 of,2011
M Power Capital,revolutionised During,the last 30 months
M Power Capital,revolutionised with,mobilising
M Power Capital,revolutionised During,the last 30 months
M Power Capital,revolutionised with,mobilising
 MPC,offers in,mainly
 MPC,offers in,corporate financing
MPC,assists Through, 
MPC,assists Through,its corporate finance arm
MPC,aims In, 
MPC,aims In,addition
MPC,aims In, 
MPC,aims In,addition
the US Federal Reserve,stay at,its meeting
the US Federal Reserve,stay at,its meeting
People’s Merchant Finance PLC,incorporated in,1983
People’s Merchant Finance PLC,incorporated in,1983
The Reserve Bank of India,said on,Monday
The Reserve Bank of India,said on,Monday
the RBI,putting in,place
 The RBI,given until,1 October
Union Assurance,continued With, 
Union Assurance,continued With,performance
Union Assurance,continued With, 
Union Assurance,continued With,performance
Union Assurance,entered Amidst, 
Union Assurance,entered Amidst,the challenges
Union Assurance,entered the Great Place to Work,(GPTW
Union Assurance,entered the Great Place to Work,Hall of Fame
 Union Assurance,is of,325%
 Union Assurance,is as,of
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 42 billion
 Union Assurance,is of,325%
 Union Assurance,is as,of
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 42 billion
 Union Assurance,is of,325%
 Union Assurance,is as,of
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 42 billion
 Union Assurance,is of,325%
 Union Assurance,is as,of
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 42 billion
Union Assurance,continues With, 
Union Assurance,continues With,75 branches
Mastercard,strengthening with,a range
Mastercard,strengthening with,a range
 Mastercard,maximises by,providing
 Mastercard,maximises by,providing
Mastercard,enabling With, 
Mastercard,enabling With,this greater demand
Mastercard,leading into,inclusive digital commerce
Mastercard,leading for,many years
Mastercard,leading by,delivering
Mastercard,leading into,inclusive digital commerce
Mastercard,leading for,many years
Mastercard,leading by,delivering
Mastercard,leading into,inclusive digital commerce
Mastercard,leading for,many years
Mastercard,leading by,delivering
RBL Bank,Atlantis in,Singapore
RBL Bank,Atlantis in,Singapore
RBL Bank,Atlantis in,Singapore
RBL Bank,Atlantis in,Singapore
RBL Bank,Atlantis in,Singapore
RBL Bank,Atlantis in,Singapore
RBL Bank,Atlantis in,Singapore
RBL Bank,Atlantis in,Singapore
Sumitomo Mitsui Card Co.,VIB in,also
Sumitomo Mitsui Card Co.,VIB in,India
Sumitomo Mitsui Card Co.,VIB in,Vietnam
Sumitomo Mitsui Card Co.,VIB in,also
Sumitomo Mitsui Card Co.,VIB in,India
Sumitomo Mitsui Card Co.,VIB in,Vietnam
Mastercard,offers For, 
Mastercard,offers For,the Digital First program
Mastercard,offers along,with
Mastercard,offers For, 
Mastercard,offers For,the Digital First program
Mastercard,offers along,with
Mastercard,offers For, 
Mastercard,offers For,the Digital First program
Mastercard,offers along,with
Mastercard,offers For, 
Mastercard,offers For,the Digital First program
Mastercard,offers along,with
Mastercard,offers For, 
Mastercard,offers For,the Digital First program
Mastercard,offers along,with
Mastercard,offers For, 
Mastercard,offers For,the Digital First program
Mastercard,offers along,with
Mastercard,offers For, 
Mastercard,offers For,the Digital First program
Mastercard,offers along,with
Mastercard,offers For, 
Mastercard,offers For,the Digital First program
Mastercard,offers along,with
Mastercard,offers For, 
Mastercard,offers For,the Digital First program
Mastercard,offers along,with
People’s Bank Investment Banking Unit,handing as,the Managers
People’s Bank Investment Banking Unit,handing as,the Trustee
People’s Bank Investment Banking Unit,handing to,the Issue
People’s Bank Investment Banking Unit,handing as,the Managers
People’s Bank Investment Banking Unit,handing as,the Trustee
People’s Bank Investment Banking Unit,handing to,the Issue
People’s Bank Investment Banking Unit,handing as,the Managers
People’s Bank Investment Banking Unit,handing as,the Trustee
People’s Bank Investment Banking Unit,handing to,the Issue
People’s Bank Investment Banking Unit,handing as,the Managers
People’s Bank Investment Banking Unit,handing as,the Trustee
People’s Bank Investment Banking Unit,handing to,the Issue
People’s Bank Investment Banking Unit,handing as,the Managers
People’s Bank Investment Banking Unit,handing as,the Trustee
People’s Bank Investment Banking Unit,handing to,the Issue
People’s Bank Investment Banking Unit,handing as,the Managers
People’s Bank Investment Banking Unit,handing as,the Trustee
People’s Bank Investment Banking Unit,handing to,the Issue
People’s Bank Investment Banking Unit,handing as,the Managers
People’s Bank Investment Banking Unit,handing as,the Trustee
People’s Bank Investment Banking Unit,handing to,the Issue
People’s Bank Investment Banking Unit,handing as,the Managers
People’s Bank Investment Banking Unit,handing as,the Trustee
People’s Bank Investment Banking Unit,handing to,the Issue
People’s Bank Investment Banking Unit,handing as,the Managers
People’s Bank Investment Banking Unit,handing as,the Trustee
People’s Bank Investment Banking Unit,handing to,the Issue
 HNB,participated in,the day-long event
HNB,is Given,is
HNB,is Given,is
HNB,is Given,is
HNB,raised During, 
HNB,raised During,the campaign
HNB,raised regarding,SOLO’s many facilities
SOLO,witnessed Since, 
SOLO,witnessed Since,its launch
 HNB,works by,refining
mCash,experienced Over, 
mCash,experienced Over,the years
mCash,experienced within,a short period
UPI,enabled In, 
UPI,enabled In,partnership
 UPI,provides to,the world
 UPI,provides to,the world
the Treasury,said In, 
the Treasury,said In,the first semi-annual foreign exchange report
the Treasury,said In, 
the Treasury,said In,the first semi-annual foreign exchange report
the State Bank of Vietnam,said In, 
the State Bank of Vietnam,said In,a statement
Bank of Ceylon,acting as,the Trustee
Bank of Ceylon,acting as,the Trustee
Bank of Ceylon,acting as,the Trustee
First Capital Holdings PLC,is With, 
First Capital Holdings PLC,is With,over three decades
  Supports Central Bank,conducted on,3 April
POS,point of,-
POS,point of,sale
 NDB,is on,the path
 NDB,is to,becoming
 NDB,is on,the path
 NDB,is to,becoming
 NDB,is on,the path
 NDB,is to,becoming
 NDB,is on,the path
 NDB,is to,becoming
 NDB,is on,the path
 NDB,is to,becoming
 NDB,is on,the path
 NDB,is to,becoming
 NDB,crowned as,Sri Lanka
 NDB,crowned as,Sri Lanka
 NDB,crowned as,Sri Lanka
 NDB,crowned as,Sri Lanka
 NDB,crowned as,Sri Lanka
NDB Group,positioned towards,assisting
Doha Bank,hosted during,the recent Doha Bank-hosted meeting
Doha Bank,hosted during,the recent Doha Bank-hosted meeting
Doha Bank,hosted during,the recent Doha Bank-hosted meeting
Doha Bank,CEO During, 
Doha Bank,CEO During,the meeting
 Doha Bank,entered into,agreements
Qatar Airways,announced in,December 2019
Qatar Airways,announced in,December 2019
Bank of Ceylon,recognised as,one
Profit Before Tax,an 11% YoY reduction Profit Before Tax,its
Profit Before Tax,an 11% YoY reduction Profit Before Tax,(
Profit Before Tax,an 11% YoY reduction Profit Before Tax,PBT
Profit Before Tax,an 11% YoY reduction Profit Before Tax,)
the Bank of Ceylon,has In, 
the Bank of Ceylon,has In,terms
the Bank of Ceylon,has In, 
the Bank of Ceylon,has In,terms
the Bank of Ceylon,has In, 
the Bank of Ceylon,has In,terms
BOC,creating for,itself
BOC,creating for,itself
BOC,creating for,itself
  Sarvodaya Development Finance,won as,the fastest growing development finance company
  Sarvodaya Development Finance,won at,Global Banking and Finance Review Awards 2021
  Sarvodaya Development Finance,won as,the fastest growing development finance company
  Sarvodaya Development Finance,won at,Global Banking and Finance Review Awards 2021
  Sarvodaya Development Finance,won as,the fastest growing development finance company
  Sarvodaya Development Finance,won at,Global Banking and Finance Review Awards 2021
the Global Banking and Finance Review Awards,vote of,recognition
SDF,extended in,particular
SDF,extended in,during
SDF,extended in,particular
SDF,extended in,during
SDF,extended in,particular
SDF,extended in,during
SDF,stood of,Instead
SDF,stood of,forsaking
SDF,stood with,its entrepreneurs
SDF,created As, 
SDF,created As,a financial services provider
SDF,created in,all aspects
SDF,created in,developing
SDF,stand from,other financial services providers
SDF,stand from,other financial services providers
SDF,adopted As, 
SDF,adopted As,a member
SDF,values In, 
SDF,values In,its role
SDF,values as,essential
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered From,  
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered From,left
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered with,PayMaster Solutions Ltd.
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered From,  
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered From,left
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered with,PayMaster Solutions Ltd.
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered From,  
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered From,left
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered with,PayMaster Solutions Ltd.
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered From,  
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered From,left
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered with,PayMaster Solutions Ltd.
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered From,  
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered From,left
Fairfirst Insurance Affinity Account Management Ashan Weerasekara,partnered with,PayMaster Solutions Ltd.
Fairfirst Insurance,known On, 
Fairfirst Insurance,known On,the forefront
Fairfirst,offering During, 
Fairfirst,offering During,the first phase
Fairfirst,serves Among, 
Fairfirst,serves Among,the top General Insurance companies
Fairfirst,serves through,a versatile workforce
Fairfirst,serves Among, 
Fairfirst,serves Among,the top General Insurance companies
Fairfirst,serves through,a versatile workforce
the Union Assurance,was Despite, 
the Union Assurance,was Despite,the unprecedented challenges
the Union Assurance,was Despite, 
the Union Assurance,was Despite,the unprecedented challenges
NDB,felicitated with,awards
NDB,felicitated for,‘
NDB,felicitated for,Project
Best Bank for Digital Transformation Sri Lanka,Project for,the fourth consecutive year
Best Bank for Digital Transformation Sri Lanka,Project for,the 3rd third year
Best Bank for Digital Transformation Sri Lanka,Project for,the fourth consecutive year
Best Financial Services Group Sri Lanka,Project for,the fourth consecutive year
Best Financial Services Group Sri Lanka,Project for,the 3rd third year
Best Financial Services Group Sri Lanka,Project for,the fourth consecutive year
NDB,felicitated with,awards
NDB,felicitated for,‘
NDB,felicitated for,Project
Best Bank for Digital Transformation Sri Lanka,Project for,the fourth consecutive year
